Timestamp,Sensor_Value,Anomaly_Type
2025-08-21 01:15:59.067994,"{'temperature_c': 28.144947471476964, 'humidity_pct': 37.45360898560027, 'pressure_hpa': 997.8339612224792, 'vibration_g': 0.3417388075078302, 'minute_of_day': 441.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 27.475311856727256, 'humidity_roll_mean': 53.7114514139246, 'pressure_roll_mean': 1011.5286412837435, 'vibration_roll_mean': 0.6641005944166639, 'temp_humidity_interaction': 1054.1298575169571, 'pressure_vibration_interaction': 340.99858799898453, 'pressure_roll_std': 7.680484269128018, 'vibration_roll_std': 0.2217395455049256}",IsolationForest
2025-08-21 01:15:59.072832,"{'temperature_c': 28.200484939033014, 'humidity_pct': 30.967316618043636, 'pressure_hpa': 1000.7976750125824, 'vibration_g': 0.4785346959048228, 'minute_of_day': 449.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 27.924676532288697, 'humidity_roll_mean': 48.798970631229984, 'pressure_roll_mean': 1011.7122444669258, 'vibration_roll_mean': 0.569670978888188, 'temp_humidity_interaction': 873.2933458894064, 'pressure_vibration_interaction': 478.9164110743998, 'pressure_roll_std': 6.399338381390842, 'vibration_roll_std': 0.15048900248153235}",IsolationForest
2025-08-21 01:15:59.077305,"{'temperature_c': 34.76455112492795, 'humidity_pct': 43.7629844787514, 'pressure_hpa': 1014.6008367158304, 'vibration_g': -0.4863160458516166, 'minute_of_day': 450.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 29.682911374232013, 'humidity_roll_mean': 47.12719777106514, 'pressure_roll_mean': 1011.3437810431731, 'vibration_roll_mean': 0.30587961356128224, 'temp_humidity_interaction': 1521.4005112909813, 'pressure_vibration_interaction': -493.4166670293843, 'pressure_roll_std': 6.105115931337607, 'vibration_roll_std': 0.44401965527346127}",IsolationForest
2025-08-21 01:15:59.084521,"{'temperature_c': 38.89510374719586, 'humidity_pct': 57.11273688734865, 'pressure_hpa': 1014.807651377219, 'vibration_g': 3.526604662913992, 'minute_of_day': 459.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 30.136835211385925, 'humidity_roll_mean': 52.72474031041516, 'pressure_roll_mean': 1013.1034235265372, 'vibration_roll_mean': 1.2902037373048916, 'temp_humidity_interaction': 2221.405826519726, 'pressure_vibration_interaction': 3578.8253953076974, 'pressure_roll_std': 1.2136304473631707, 'vibration_roll_std': 1.2567086580150137}",IsolationForest
2025-08-21 01:15:59.090150,"{'temperature_c': 35.339956736696166, 'humidity_pct': 47.28643268011295, 'pressure_hpa': 1014.9397953873108, 'vibration_g': 2.914613495376603, 'minute_of_day': 461.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 31.43581328533088, 'humidity_roll_mean': 52.09923021188255, 'pressure_roll_mean': 1014.2210339013182, 'vibration_roll_mean': 1.7409055103106614, 'temp_humidity_interaction': 1671.1004851478874, 'pressure_vibration_interaction': 2958.157224630624, 'pressure_roll_std': 1.3290628247311052, 'vibration_roll_std': 1.3708519657459544}",IsolationForest
2025-08-21 01:15:59.093907,"{'temperature_c': 25.23297846826852, 'humidity_pct': 47.43371494930764, 'pressure_hpa': 1014.5116430083768, 'vibration_g': 1.1350666068402144, 'minute_of_day': 463.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 30.676872454209615, 'humidity_roll_mean': 50.73202133874689, 'pressure_roll_mean': 1014.4568515574201, 'vibration_roll_mean': 1.821824555300133, 'temp_humidity_interaction': 1196.8939079858665, 'pressure_vibration_interaction': 1151.5382882294093, 'pressure_roll_std': 1.188801954953414, 'vibration_roll_std': 1.3040573676410447}",IsolationForest
2025-08-21 01:15:59.099347,"{'temperature_c': 29.410925812090923, 'humidity_pct': 35.555372972314046, 'pressure_hpa': 992.8491233274078, 'vibration_g': 0.5470779909545712, 'minute_of_day': 481.0, 'hour': 8.0, 'weekday': 4.0, 'temperature_roll_mean': 28.44295434312982, 'humidity_roll_mean': 50.45908395140391, 'pressure_roll_mean': 1007.7246644026449, 'vibration_roll_mean': 0.8043590612678649, 'temp_humidity_interaction': 1045.7164367099513, 'pressure_vibration_interaction': 543.1659037109656, 'pressure_roll_std': 8.459627844494337, 'vibration_roll_std': 0.3296441791481386}",IsolationForest
2025-08-21 01:15:59.103106,"{'temperature_c': 29.288353334658087, 'humidity_pct': 31.985965840812614, 'pressure_hpa': 994.1833453749437, 'vibration_g': 0.6422421029063503, 'minute_of_day': 524.0, 'hour': 8.0, 'weekday': 4.0, 'temperature_roll_mean': 29.021822314010688, 'humidity_roll_mean': 47.15660619541663, 'pressure_roll_mean': 1010.6360212119018, 'vibration_roll_mean': 1.3202270130387257, 'temp_humidity_interaction': 936.8162692960238, 'pressure_vibration_interaction': 638.5064024080742, 'pressure_roll_std': 9.206073037896745, 'vibration_roll_std': 0.5480609714063311}",IsolationForest
2025-08-21 01:15:59.106712,"{'temperature_c': 25.74925643190892, 'humidity_pct': 34.353968332339214, 'pressure_hpa': 999.790259666368, 'vibration_g': 0.9306270598745164, 'minute_of_day': 570.0, 'hour': 9.0, 'weekday': 4.0, 'temperature_roll_mean': 27.126690154486, 'humidity_roll_mean': 50.91157296225542, 'pressure_roll_mean': 1009.7761389260174, 'vibration_roll_mean': 0.6004336544680566, 'temp_humidity_interaction': 884.5891400430808, 'pressure_vibration_interaction': 930.4318698444914, 'pressure_roll_std': 5.89113951893595, 'vibration_roll_std': 0.3152860672318682}",IsolationForest
2025-08-21 01:15:59.112465,"{'temperature_c': 35.132412526438586, 'humidity_pct': 53.77665757440656, 'pressure_hpa': 1010.7037334103912, 'vibration_g': 2.471937098360091, 'minute_of_day': 573.0, 'hour': 9.0, 'weekday': 4.0, 'temperature_roll_mean': 28.759112992724464, 'humidity_roll_mean': 51.879497738595525, 'pressure_roll_mean': 1010.4976536213413, 'vibration_roll_mean': 0.9776781272391485, 'temp_humidity_interaction': 1889.3037181970797, 'pressure_vibration_interaction': 2498.3960540681933, 'pressure_roll_std': 6.514556588225998, 'vibration_roll_std': 0.8741729779294242}",IsolationForest
2025-08-21 01:15:59.116691,"{'temperature_c': 39.664244388988, 'humidity_pct': 55.64671007177137, 'pressure_hpa': 1014.1712112836196, 'vibration_g': 3.062462945452962, 'minute_of_day': 576.0, 'hour': 9.0, 'weekday': 4.0, 'temperature_roll_mean': 31.204696589125, 'humidity_roll_mean': 52.41955335011331, 'pressure_roll_mean': 1013.1561958338347, 'vibration_roll_mean': 1.5961875064354145, 'temp_humidity_interaction': 2207.1847077299, 'pressure_vibration_interaction': 3105.8617549012324, 'pressure_roll_std': 2.01472083136719, 'vibration_roll_std': 1.0947941875356793}",IsolationForest
2025-08-21 01:15:59.121446,"{'temperature_c': 29.11404461378203, 'humidity_pct': 43.33646679423581, 'pressure_hpa': 1000.14561676972, 'vibration_g': 2.525703931790907, 'minute_of_day': 628.0, 'hour': 10.0, 'weekday': 4.0, 'temperature_roll_mean': 29.537132017437813, 'humidity_roll_mean': 53.15702374252932, 'pressure_roll_mean': 1010.2039047716087, 'vibration_roll_mean': 1.802648078554523, 'temp_humidity_interaction': 1261.6998276510649, 'pressure_vibration_interaction': 2526.071716638724, 'pressure_roll_std': 5.6896748094547736, 'vibration_roll_std': 0.5450490194228497}",IsolationForest
2025-08-21 01:15:59.126260,"{'temperature_c': 27.86197968077932, 'humidity_pct': 57.25853429620186, 'pressure_hpa': 1011.6914526280314, 'vibration_g': 2.891485781406678, 'minute_of_day': 629.0, 'hour': 10.0, 'weekday': 4.0, 'temperature_roll_mean': 29.239572253148232, 'humidity_roll_mean': 53.78823512130448, 'pressure_roll_mean': 1010.2252046156166, 'vibration_roll_mean': 2.0999092067441163, 'temp_humidity_interaction': 1595.336119111982, 'pressure_vibration_interaction': 2925.2914504446203, 'pressure_roll_std': 5.696332869085482, 'vibration_roll_std': 0.6659729018456217}",IsolationForest
2025-08-21 01:15:59.130954,"{'temperature_c': 33.08500278307131, 'humidity_pct': 57.69690273808627, 'pressure_hpa': 1013.6779237984822, 'vibration_g': 2.805856156178748, 'minute_of_day': 630.0, 'hour': 10.0, 'weekday': 4.0, 'temperature_roll_mean': 30.14879990865135, 'humidity_roll_mean': 52.62854162011122, 'pressure_roll_mean': 1010.4065713794402, 'vibration_roll_mean': 2.2886484314165982, 'temp_humidity_interaction': 1908.902187664179, 'pressure_vibration_interaction': 2844.234442872463, 'pressure_roll_std': 5.810940125680677, 'vibration_roll_std': 0.7137582880488305}",IsolationForest
2025-08-21 01:15:59.135440,"{'temperature_c': 34.60562841475503, 'humidity_pct': 59.78973012887698, 'pressure_hpa': 1012.2838914415786, 'vibration_g': 3.2429787445179743, 'minute_of_day': 631.0, 'hour': 10.0, 'weekday': 4.0, 'temperature_roll_mean': 31.254000076936983, 'humidity_roll_mean': 53.66443339824946, 'pressure_roll_mean': 1010.0594893624735, 'vibration_roll_mean': 2.7079424654793356, 'temp_humidity_interaction': 2069.0611838584005, 'pressure_vibration_interaction': 3282.81514336298, 'pressure_roll_std': 5.588789726884986, 'vibration_roll_std': 0.4373296905944599}",IsolationForest
2025-08-21 01:15:59.139645,"{'temperature_c': 31.45466246851793, 'humidity_pct': 51.50050678757005, 'pressure_hpa': 1012.0924845304744, 'vibration_g': 3.0628841551018824, 'minute_of_day': 632.0, 'hour': 10.0, 'weekday': 4.0, 'temperature_roll_mean': 31.224263592181124, 'humidity_roll_mean': 53.9164281489942, 'pressure_roll_mean': 1009.9782738336573, 'vibration_roll_mean': 2.9057817537992383, 'temp_humidity_interaction': 1619.9310579606326, 'pressure_vibration_interaction': 3099.9220343660872, 'pressure_roll_std': 5.547280770909606, 'vibration_roll_std': 0.27066197817291626}",IsolationForest
2025-08-21 01:15:59.145612,"{'temperature_c': 27.885581844577004, 'humidity_pct': 34.4922744683661, 'pressure_hpa': 992.2761604282666, 'vibration_g': 0.6773297888480349, 'minute_of_day': 681.0, 'hour': 11.0, 'weekday': 4.0, 'temperature_roll_mean': 27.64223009695707, 'humidity_roll_mean': 50.11563926009906, 'pressure_roll_mean': 1009.8564385108841, 'vibration_roll_mean': 0.7235359782158314, 'temp_humidity_interaction': 961.8371426932366, 'pressure_vibration_interaction': 672.0982022218166, 'pressure_roll_std': 9.947595528185362, 'vibration_roll_std': 0.25829012813121727}",IsolationForest
2025-08-21 01:15:59.151318,"{'temperature_c': 27.4813136224198, 'humidity_pct': 36.11959507771738, 'pressure_hpa': 994.9887111869438, 'vibration_g': 0.8447734758771845, 'minute_of_day': 690.0, 'hour': 11.0, 'weekday': 4.0, 'temperature_roll_mean': 27.52404976050869, 'humidity_roll_mean': 53.92659667927654, 'pressure_roll_mean': 1010.6165240460384, 'vibration_roll_mean': 0.6872080902479467, 'temp_humidity_interaction': 992.6139202455618, 'pressure_vibration_interaction': 840.5400720079546, 'pressure_roll_std': 9.022000812200185, 'vibration_roll_std': 0.3087887516672226}",IsolationForest
2025-08-21 01:15:59.155345,"{'temperature_c': 26.990941342700086, 'humidity_pct': 33.68359312898904, 'pressure_hpa': 1002.8351357061338, 'vibration_g': 0.6918847327282548, 'minute_of_day': 703.0, 'hour': 11.0, 'weekday': 4.0, 'temperature_roll_mean': 26.965213062647297, 'humidity_roll_mean': 48.015929468796884, 'pressure_roll_mean': 1011.1967614120783, 'vibration_roll_mean': 0.8577916955608023, 'temp_humidity_interaction': 909.1518863559188, 'pressure_vibration_interaction': 693.8463198385415, 'pressure_roll_std': 5.296340014115216, 'vibration_roll_std': 0.23641888957091914}",IsolationForest
2025-08-21 01:15:59.159212,"{'temperature_c': 27.71561298117977, 'humidity_pct': 33.260254634481576, 'pressure_hpa': 999.4293507760532, 'vibration_g': 0.6482822317264022, 'minute_of_day': 707.0, 'hour': 11.0, 'weekday': 4.0, 'temperature_roll_mean': 26.971737748714634, 'humidity_roll_mean': 46.430403409842114, 'pressure_roll_mean': 1007.6498093092689, 'vibration_roll_mean': 0.746016463172978, 'temp_humidity_interaction': 921.8283451047822, 'pressure_vibration_interaction': 647.912289973969, 'pressure_roll_std': 6.112663755254609, 'vibration_roll_std': 0.07537973406987833}",IsolationForest
2025-08-21 01:15:59.163544,"{'temperature_c': 21.300761326588784, 'humidity_pct': 55.144135448446086, 'pressure_hpa': 1012.9046446367722, 'vibration_g': 3.042951809636325, 'minute_of_day': 767.0, 'hour': 12.0, 'weekday': 4.0, 'temperature_roll_mean': 25.563315492643746, 'humidity_roll_mean': 57.618112726255404, 'pressure_roll_mean': 1013.8881993464016, 'vibration_roll_mean': 1.1942518884405589, 'temp_humidity_interaction': 1174.6120677484341, 'pressure_vibration_interaction': 3082.220021386505, 'pressure_roll_std': 2.226559059530195, 'vibration_roll_std': 1.0601552257403488}",IsolationForest
2025-08-21 01:15:59.167577,"{'temperature_c': 39.38259371288643, 'humidity_pct': 63.62541161385752, 'pressure_hpa': 1012.2681365459056, 'vibration_g': 4.576975827614662, 'minute_of_day': 784.0, 'hour': 13.0, 'weekday': 4.0, 'temperature_roll_mean': 31.33970003192252, 'humidity_roll_mean': 56.079440111199425, 'pressure_roll_mean': 1013.4556507792482, 'vibration_roll_mean': 2.149007530899554, 'temp_humidity_interaction': 2505.7337354037168, 'pressure_vibration_interaction': 4633.126792035148, 'pressure_roll_std': 2.2136422237602833, 'vibration_roll_std': 1.3613882161346105}",IsolationForest
2025-08-21 01:15:59.171056,"{'temperature_c': 29.50065683192386, 'humidity_pct': 49.949289862922654, 'pressure_hpa': 1010.789590318365, 'vibration_g': 1.953138883038536, 'minute_of_day': 785.0, 'hour': 13.0, 'weekday': 4.0, 'temperature_roll_mean': 31.59494818049662, 'humidity_roll_mean': 54.654055022874424, 'pressure_roll_mean': 1012.5516147186311, 'vibration_roll_mean': 2.256440937409082, 'temp_humidity_interaction': 1473.5368592443745, 'pressure_vibration_interaction': 1974.2124514213906, 'pressure_roll_std': 2.190009108235139, 'vibration_roll_std': 1.3092769984243426}",IsolationForest
2025-08-21 01:15:59.173706,"{'temperature_c': 29.701103911222045, 'humidity_pct': 39.5950419924225, 'pressure_hpa': 1015.1182373204164, 'vibration_g': -0.884193640327891, 'minute_of_day': 823.0, 'hour': 13.0, 'weekday': 4.0, 'temperature_roll_mean': 26.945690081020395, 'humidity_roll_mean': 54.072566931724985, 'pressure_roll_mean': 1013.6616736517119, 'vibration_roll_mean': 0.19917812637112692, 'temp_humidity_interaction': 1176.016456586141, 'pressure_vibration_interaction': -897.561089619571, 'pressure_roll_std': 2.7357887881802485, 'vibration_roll_std': 0.6110227355412502}",IsolationForest
2025-08-21 01:15:59.178689,"{'temperature_c': 38.91474015372438, 'humidity_pct': 57.09345639113283, 'pressure_hpa': 1014.4856546799112, 'vibration_g': 1.9282582231025045, 'minute_of_day': 842.0, 'hour': 14.0, 'weekday': 4.0, 'temperature_roll_mean': 29.890261978172155, 'humidity_roll_mean': 54.253382951960475, 'pressure_roll_mean': 1014.2024989604839, 'vibration_roll_mean': 0.9529516644674431, 'temp_humidity_interaction': 2221.777019938929, 'pressure_vibration_interaction': 1956.1903058560667, 'pressure_roll_std': 2.1072497267805046, 'vibration_roll_std': 0.5513566982736121}",IsolationForest
2025-08-21 01:15:59.183871,"{'temperature_c': 22.76658879473527, 'humidity_pct': 37.64430887157829, 'pressure_hpa': 1009.5878061195644, 'vibration_g': 2.314985155750904, 'minute_of_day': 880.0, 'hour': 14.0, 'weekday': 4.0, 'temperature_roll_mean': 25.65978548485082, 'humidity_roll_mean': 50.66196732015482, 'pressure_roll_mean': 1011.8215648409329, 'vibration_roll_mean': 0.8981894821871077, 'temp_humidity_interaction': 857.0325005412278, 'pressure_vibration_interaction': 2337.1807845939134, 'pressure_roll_std': 1.480972227553779, 'vibration_roll_std': 0.8571068661919616}",IsolationForest
2025-08-21 01:15:59.188192,"{'temperature_c': 29.06119185055517, 'humidity_pct': 41.36954239876046, 'pressure_hpa': 1000.992775199423, 'vibration_g': 2.01570040920588, 'minute_of_day': 901.0, 'hour': 15.0, 'weekday': 4.0, 'temperature_roll_mean': 28.043683473591773, 'humidity_roll_mean': 55.0228439580323, 'pressure_roll_mean': 1008.6929516343786, 'vibration_roll_mean': 1.667807273210546, 'temp_humidity_interaction': 1202.248208420054, 'pressure_vibration_interaction': 2017.7015465816066, 'pressure_roll_std': 4.3176155665687395, 'vibration_roll_std': 0.28017824898257493}",IsolationForest
2025-08-21 01:15:59.193910,"{'temperature_c': 29.037220131199604, 'humidity_pct': 49.219461635995, 'pressure_hpa': 1011.5337633374348, 'vibration_g': 2.3614194954843555, 'minute_of_day': 902.0, 'hour': 15.0, 'weekday': 4.0, 'temperature_roll_mean': 28.491255135838014, 'humidity_roll_mean': 52.045590433169174, 'pressure_roll_mean': 1008.8811443878237, 'vibration_roll_mean': 1.8629184641532075, 'temp_humidity_interaction': 1429.1963422635206, 'pressure_vibration_interaction': 2388.6555490856767, 'pressure_roll_std': 4.43990211360006, 'vibration_roll_std': 0.362375208617445}",IsolationForest
2025-08-21 01:15:59.199109,"{'temperature_c': 31.396116400106617, 'humidity_pct': 55.03468435558928, 'pressure_hpa': 1013.9324502453028, 'vibration_g': 2.3218750969335358, 'minute_of_day': 903.0, 'hour': 15.0, 'weekday': 4.0, 'temperature_roll_mean': 29.033523591491434, 'humidity_roll_mean': 52.4151009698605, 'pressure_roll_mean': 1009.4810326494684, 'vibration_roll_mean': 1.943835777535454, 'temp_humidity_interaction': 1727.8753560712075, 'pressure_vibration_interaction': 2354.22450619737, 'pressure_roll_std': 4.95875831782546, 'vibration_roll_std': 0.41839281661125344}",IsolationForest
2025-08-21 01:15:59.204014,"{'temperature_c': 29.01958099948512, 'humidity_pct': 48.79698698767521, 'pressure_hpa': 1011.327397160088, 'vibration_g': 2.34659697266804, 'minute_of_day': 904.0, 'hour': 15.0, 'weekday': 4.0, 'temperature_roll_mean': 29.528771037104217, 'humidity_roll_mean': 50.6743525418104, 'pressure_roll_mean': 1009.7305654934268, 'vibration_roll_mean': 2.1056808614942337, 'temp_humidity_interaction': 1416.0681164196624, 'pressure_vibration_interaction': 2373.177808552111, 'pressure_roll_std': 5.0273358472748635, 'vibration_roll_std': 0.37624608115386937}",IsolationForest
